"id","ClassRegisterID","Bal_bf","Uniform","uniform_no","Transport","Transport_months","Lunch","Lunch_months","OtherLevyIndv"
"401","645","750.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"402","646","4800.00","0.00","0.00","0.00","0.00","600.00","3.00","0.00"
"404","648","0.00","0.00","0.00","1100.00","3.00","600.00","3.00","0.00"
"405","649","700.00","0.00","0.00","1100.00","3.00","600.00","3.00","0.00"
"406","650","900.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"407","651","0.00","0.00","0.00","900.00","3.00","600.00","3.00","0.00"
"408","652","800.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"409","653","2650.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"410","654","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"411","655","-1050.00","0.00","0.00","1000.00","0.75","0.00","0.00","0.00"
